ano,texto_completo
descrições [definidas] que identificam o objeto. Ainda assim, vejamos, há uma
âncora lá: a referência. Mas ela pode não haver como em “Saci-pererê é o
menino mais travesso”, considerando que o saci-pererê não existe.

Isso leva a um terceiro e último aspecto que gostaríamos de comentar. O fato
de “falar de” seja por um nome (fixo) ou uma descrição levanta dificuldades de
comunicação quando falta ou sobra significado ou referência, o que nos leva a
suprimir a descrição definida por uma análise lógica. Assim, o que quereria
dizer a frase “O primogênito de José Gil Moreira é o baiano com mais balanço”?
Que existe um primogênito de José Gil Moreira, que há no máximo um primogênito
de José Gil Moreira e que, quem quer que seja o primogênito de José Gil
Moreira, ele é o baiano com mais balanço.

Tem-se que a descrição definida se despe em uma asserção de existência (o
primogênito existe), de univocidade (só há um primogênito do José Gil) e da
predicação (ele é o baiano com mais balanço). Essa análise já permitiria
também refutar o saci-pererê[iii]. A camada aparente da linguagem fica, assim,
subsumida à sua base lógica real e evitamos problemas de interpretação e
comunicação.

Bem, esperamos não ter errado muito, esperamos que argumentação tenha um pouco
de clareza e que possa ter coberto em linhas gerais os pontos principais,
embora nesse momento eu não esteja tão certo que isso tenha sido feito a
contento.

  

* * *

[i] Nossa intenção com esse primeiro exercício de filosofia da linguagem,
descompromissado, é nos aproximarmos da escrita técnica e tentar passar
brevemente pelos primórdios das teorias, circunscrevendo-nos entre Russell e
Frege e só.

[ii] Conforme Frege, o sentido, ou seja, um modo de apresentar o objeto (a
referência).

[iii] Já que não existe, apesar de Meinong ter proposto que ele tem um ser,
que faz parte da realidade dos inexistentes.

 Eu, quando criança, fiz aula de capoeira e o mestre me apelidou papagaio
porque eu estava sempre de prosa enquanto ele palestrava. Fato psicológico
passível de explicação, não trataremos dele aqui, trataremos da linguagem e da
comunicação trazendo nossa pergunta retórica: “Eu falo e você em escuta, mas
entende?”. Bem, não há dúvidas que sim pois estamos aí nos comunicando há
milênios, mas como isso acontece?

Ora, pelo que pudemos apreender até agora por estudos da Filosofia da
Linguagem e correlatos, isso se dá pelo significado, isto é, a palavra, o
texto, os ruídos que emitimos, todos eles carregam _significado_ e, devido a
ele, nos entendemos. Mas que chatice essa de nos perguntarmos sobre esse tipo
de coisa, não é mesmo? Conversamos e pronto! Ora bolas. Entretanto, não é bem
assim, vejamos.

Há uma ordem no universo? Essa pergunta evasiva nos leva a pensar se há algum
tipo de substrato, seja ele material ou espiritual, em todas as coisas que nos
cercam. Podemos atribuir isso a Deus e seguirmos nessa viagem ""desinteressada""
ou podemos _investigar_. E a filosofia está aí justamente para isso,
investigar se há leis na natureza, se seguimos essa lei, se há o livre-
arbítrio e quais ações deveríamos escolher em determinadas ocasiões, etc. Não
só a filosofia, obviamente, mas ela, primordialmente.

Soma-se a esse leque de questões aquelas relacionadas à linguagem e voltamos
ao significado. Se nos comunicamos porque a linguagem é feita de significados,
o que eles são? Mais comumente pleiteia-se que o significado se refere a algo
no mundo, a chamada teoria ingênua da referência, qual seja, que o significado
é a referência. Então, eu falo sobre algo, você vê aquele algo e nos
entendemos. Porém, isso não é assim em muitos casos, ainda que geralmente o
seja. Por exemplo, se eu falo “O atual rei da França é careca” eu não estou me
referindo a algo, pois tal objeto (o rei da França) não existe. E é aí que
começam os problemas, avaliemos.

A Filosofia da Linguagem reflete sobre o significado, a referência e suas
teorias. Contudo, ela se mostra muito lógica e podem haver outras abordagens,
como a Linguística, análise do discurso ou mesmo a destituição de uma
abordagem tão estrita e que, muitas das vezes, desconsidera os próprios
falantes responsáveis pela existência da linguagem e etecetera.

Isso posto, já há um edifício da filosofia da linguagem de aproximadamente 150
anos que não pode ser descartado. Se o significado é a referência, se o
significado está na proposição, em outras palavras, se eu analiso a própria
frase para extrair dela o significado (uma verdade que frase expressa) ou se
ele é uma questão de uso da linguagem, definido pelos falantes em jogos de
linguagem. Também podemos ter um enfoque mais subjetivo ou intersubjetivo
entre nós que falamos ou objetivo, como investigar se a linguagem per se
poderia ser analisada.

É justamente aí que nos lembramos do papagaio. Ele fala, eu escuto, mas
entendo??? Depende, ele pode falar coisas com sentido ou sem sentido para nós,
mas para ele, há sentido, isto é, significado? Se ele fala “são 10 horas” e
são dez horas, posso entender, mas se ele fala “hoje é televisão”, a primeira
vista eu posso não entender, mas ele pode estar a se referir que ""hoje é o dia
de comprar a televisão"", já que ontem comprei um chiclete.

De todo modo, há muitas cartas nesse jogo da filosofia da linguagem, mas
muitas delas já marcadas e não podemos nos embaralharmos, por isso é vital uma
análise mais aproximada do assunto que nos permita limpar o terreno e
verificar se o que o papagaio fala tem sentido, aquele do poleiro ou a criança
que fazia bagunça na capoeira.

 _Visa conceituar o reportório usado por Merton ao inserir a ciência como
objeto de investigação sociológica**[i]**_

Shinn e Ragouet conceituam a abordagem de uma ciência funcionalista e
estratificada como tendo uma perspectiva sociológica diferenciacionista. Isso
porque, nessa visão, não basta, por exemplo, elencar os pais da ciência
moderna ou as teorias científicas, suas ideias e fatos, já que tudo isso, por
si só, não explica o desenvolvimento da ciência. Para o sociólogo da ciência,
dentro da perspectiva funcionalista, é recorrendo ao processo de
institucionalização da ciência, com suas normas e um sistema de retribuição,
que se pode explicar a existência da ciência.

A sociologia da ciência nasce a partir da tese de doutorado de Robert Merton,
em 1938, que analisa, de um ponto de vista sociológico, a revolução científica
que ocorreu no final do século XVII, na Inglaterra. Naquele contexto, segundo
Merton, a ciência surge como um subsistema social quase autônomo, baseado em
valores e normas específicos que demarcam suas fronteiras. Há organismos como
a Royal Society, fundada em 1662, que constituem uma comunidade científica
dividida em papéis científicos que subordinam as descobertas e teorias
científicas, fazendo com que os trabalhos de cientistas como Newton e Boyle
sejam insuficientes para operar a transformação do modo de conhecimento da
sociedade.

Ora, a Royal Society Londrina é um espaço que permite o estabelecimento de
procedimentos, modelos de excelência e protocolos de avaliação que trazem a
profissionalização científica e, com isso, sua autonomia. Porém, há dois
fatores da época que impulsionam a ciência: por um lado, as transformações
econômicas de uma nação que tem ambições imperialistas fazem com que a ciência
responda a desafios tecnológicos; por outro, o puritanismo inglês que, embora
não sendo uma condição social necessária, conjuga valores com a ciência, como:
revelar a ordem da natureza que seria reflexo da ordem divina, se orientar por
atitudes como rigor, esforço e aprendizado, pelo conhecimento, reflexão e
crítica, além da noção de realização material. Tudo isso gera um ambiente
ideológico que favorece o florescimento da ciência.

E são as instituições, academias de ciências que também aparecem em outros
países que trazem um papel regulador dos critérios de certificação científica
e validação, bem como um sistema de retribuição e premiação que instaura uma
hierarquia dentro das comunidades científicas tornando a ciência sistema
distinto e relativamente autônomo, que pode resistir à intrusões e pressões de
atores políticos e econômicos.

Para Merton, a comunidade científica se divide em quatro papéis: a maior parte
entre _pesquisadores_ e _professores_ (pesquisa e ensino), os mais seniores
mais participantes da _administração_ e o papel de _sentinela_ que é
compartilhado por todos e diz respeito à definição da orientação da pesquisa,
avaliação dos resultados e controle dos atores. Em um artigo de 1942, Merton
define as quatro normas que constituem o _ethos_ da ciência: o _universalismo_
, referente aos critérios impessoais que devem ser perseguidos pelos
cientistas; o _comunalismo_ , que visa o bem público e contrário à ideia de
propriedade intelectual; o _desinteresse_ , isto é, procura pela verdade,
honestidade e intersubjetividade; e o _ceticismo organizado_ que rejeita a
autoridade e aberto a críticas.

São essas normas que fazem da ciência um sistema distinto assegurando-lhe
estabilidade e regulação. Isto, segundo alguns diferenciacionistas, seriam
normas da ciência pura em oposição à ciência aplicada guiada pela patente ou
segredo industrial inserida em um sistema autoritário de relações e sob a
forma de uma expertise técnica destinada a resolver problemas pontuais
associados ao lucro empresarial. Porém, enfatizam os autores, nem sempre os
pesquisadores se guiam por tais normas citando como exemplo o Projeto Apolo,
nos anos 60, no qual os cientistas eram movidos pelo ganho pessoal e ambição,
colocando em dúvida a existência do ethos científico. Então, elas tenderiam a
serem normas mais ideais do que operatórias.

  

* * *

[i] _Controvérsias sobre a ciência: por uma sociologia transversalista da
atividade científica_. Terry Shinn e Pascal Ragouet. Tradução de Pablo Rubén
Mariconda e Sylvia Gemignani Garcia. São Paulo: Associação Filosófica
Scientiae Studia: Editora 34, 2008. Páginas 14 a 23.

 _Coloca o problema da diferença de valor cognitivo entre nomes diferentes para
o mesmo objeto**[i]**_

De acordo com Frege[ii], há uma diferença cognitiva oriunda da troca de um
nome por outro nome que se refere (significa) o mesmo objeto. E Ruffino
explica que o teste de verificação é se perguntar se alguém racional pode
acreditar em uma dessas sentenças e não na outra, como é o caso ilustrativo de
Lois Lane que sabe que o ""Super-Homem é super-herói"", mas não sabe que ""Clark
Kent é super-herói"". Mas não é caso evidente de uma troca entre 2, ii ou II,
que seria reconhecido por todos.

Da perspectiva epistêmica de Lois Lane, que não é contraditória, trocar o nome
Super-Homem por CK, em uma sentença, produz diferença cognitiva. Dito isso,
como explicar a diferença cognitiva entre as sentenças, dado que se referem ao
mesmo objeto e somente há uma troca de nomes, coisa que é corriqueira na vida
de qualquer um de nós? Tal fato ilustra que há atitudes epistêmicas
diferentes, isto é, acreditamos em uma expressão, mas não na outra.

Essa questão, informa Ruffino, passa a ser conhecida como _o problema de
Frege_ : “diferenças cognitivas em enunciados que resultam apenas da troca de
um nome por outro nome que tem a mesma referência”. É assim que começa
SSR[iii], particularizado na identidade entre objetos do tipo “a = b”. O caso
de Super-Homem e super-herói, embora não sendo de identidade de objetos, mas
de predicação, é um aonde ocorre essa diferença de valor cognitivo. A solução
de SSR é que, além da referência, o nome carrega uma _forma de apresentação_
que tem papel fundamental nas crenças. LL olha CK segundo um sentido e LL olha
para SH segundo um outro sentido. Ou seja, o nome tem dois tipos de
significado.

Voltando à questão da identidade, que em si é uma questão e que já vimos,
Frege se pergunta entre o que é a relação de identidade, se entre nomes (uma
expressão linguística) ou entre objetos, as coisas significadas. Há um plano
ontológico da linguagem (símbolos) e outro do mundo (do que se fala)[iv]. O
enunciado de identidade maximiza o problema de Frege, já que se “a = b”, ‘b’
pode ser uma informação inteiramente nova. Há o enunciado trivial que diz que
a estrela da manhã é a estrela da manhã, mas há uma descoberta astronômica que
diz que a estrela da manhã é a estrela da tarde. E os enunciados de identidade
são inúmeros, como pi sendo a razão entre a circunferência e o diâmetro de um
círculo, ou calor é a energia transmitida entre corpos. Assim como a polícia
está sempre tentando achar a identidade de um assassino. E nós seguindo nos
passos de Frege.

* * *

[i] Um resumo, quase transcrição de
[https://www.youtube.com/watch?v=7VLtDA_yxLI](https://www.youtube.com/watch?v=7VLtDA_yxLI),
“Filosofia da Linguagem - Ep. 3: O valor cognitivo das identidades”.

[ii] Continua de [https://www.reflexoesdofilosofo.blog.br/2022/05/o-problema-
de-frege.html](https://www.reflexoesdofilosofo.blog.br/2022/05/o-problema-de-
frege.html).

[iii] Sobre Sentido e Referência.

[iv] Conforme exemplo de Ruffino, ‘neve’ tem quatro letras e “neve é gelada”,
mas a palavra ‘neve’ não é gelada.

 _Traz um panorama das preocupações de Gottlob Frege**[i]**_

Filho argumenta que Frege não deve ser considerado um filósofo da linguagem
porque a questão do significado não é central na sua filosofia. De acordo com
o autor, Frege tem um projeto de fundamentar a aritmética na lógica, projeto
que é um dos precursores da lógica moderna e conhecido como logicismo[ii].
Além disso, essa proposta viria na esteira kantiana de tratar a matemática
como um conhecimento a priori, mas compostos de intuições puras e, nesse
sentido, com proposições sintéticas a priori. Entretanto, para Frege, a
geometria, sim, dependeria de intuições puras, haja vista a sua dependência
espacial, já a aritmética, caso rompendo com essa premissa, seria feita de
proposições analíticas.

Isso posto, não se pode negar a contribuição de Frege para a filosofia da
linguagem, embora seu conhecido artigo _Sobre o sentido e a referênci_ a
busque mais resolver problemas de sua lógica formal do que estabelecer uma
teoria semântica. Em SSR, sempre de acordo com Filho, Frege investiga se a
identidade é uma relação entre objetos ou entre os nomes dos objetos, para
concluir que há problemas em ambos os casos, tornando-se necessário lançar mão
do sentido. Pois bem, nas sentenças:

(1) A Estrela da Manhã é a Estrela da Manhã

(2) A Estrela da Manhã é a Estrela da Tarde

Temos que, (1) é mera tautologia, mas (2) traz uma informação nova, nada menos
que uma descoberta astronômica e, aí, tais sentenças têm conteúdo cognitivo
diferente. Bem, se a identidade fosse apenas de objetos, qual seja, do tipo a
= a, estaríamos falando sempre de Vênus, mas isso não explicaria a diferença
de conteúdo cognitivo entre ambas. Então, a identidade de objetos não da conta
dessas sentenças de identidade que se referem ao mesmo objeto, mas que tem
conteúdo cognitivo diverso.

Por outro lado, a identidade também não poderia ser uma identidade entre os
nomes de objetos, pois essas atribuições podem ser arbitrárias e não trazem
conteúdo cognitivo relevante como em 4 = IV ou 4 = <símbolo de espadas>. Já em
4 = <raiz quadrada de 16> há um conteúdo cognitivo relevante, muito além da
trivialidade de a = a ou da arbitrariedade que acabamos de mencionar. Então,
nem o símbolo (o nome do objeto), nem a referência (o objeto) são suficientes
para a identidade, donde surge o sentido como modos diferentes de apresentar
um mesmo objeto. Conforme Filho: “Agora, de SSR em diante, é a noção
referência que cumpre o papel de valor semântico das expressões da linguagem
formal de Frege” (p. 13). Como ele acaba de realizar através do uso dos nomes
próprios para fazer a distinção entre sentido e referência.

Porém, o que traz complicações ao tomar Frege para a realização de análises de
linguagem é que, na continuação de SSR e conforme explica Filho, Frege usará o
valor de verdade[iii] como para o papel de referência para sentenças, ou seja,
seu valor, mas isso atende a um ponto de vista da linguagem formal. Ora, isso
faz com que:

(3) Aristóteles é grego e

(4) 2 + 2 = 4

Tenham a mesma referência, soando estranho do ponto de vista de uma teoria do
significado. Mais ainda, como valores de verdade são objetos, há uma
equiparação entre sentenças e nomes próprios que torna essa teoria indesejável
do ponto de vista da linguagem.

  

* * *

[i] Resgata trechos da aula inaugural do curso de Filosofia da UFSJ,
ministrada no dia 21 de agosto de 2008 pelo professor Abílio Rodrigues Filho.
Acesso em 09/04/2022 pelo endereço eletrônico: <https://ufsj.edu.br/portal-
repositorio/File/Ab%EDlio%20Rodrigues.pdf>.

[ii] Nosso intuito inicial era começar um estudo mais aprofundado da filosofia
da linguagem por Gottlob Frege, que parece ser o pai da lógica moderna, até
nos depararmos com esse texto que estamos tratando.

[iii] Na Conceitografia (CG) Frege tentou usar conteúdos conceituais como
valores semânticos de sentenças, mas sem sucesso. A noção de conteúdo
conceitual versa que duas sentenças têm o mesmo conteúdo conceitual quando são
intersubstituíveis, porém essa tese apresentou inúmeros problemas que viriam a
ser resolvidos na SSR. Vale ressaltar que a CG cria uma linguagem formal como
um sistema completo de lógica proposicional e de predicados jamais visto desde
Aristóteles.

 A nossa relação com a natureza sempre foi duvidosa, seja ela com a nossa
própria natureza humana ou com uma natureza extrínseca. Em realidade, é
proeminentemente uma atitude de negação já que, conforme nos alerta Haddad, a
subjugação de outrem está em nosso DNA e, clara e indistintamente, a
subjugação da natureza, nossa necessidade de dominá-la.

Porém, a ciência produziu uma nova visão pela teoria de alguém que acaba de
nos deixar: Lovelock (RIP 26/07/2022). Ele tentou mostrar que a natureza, em
oposição à tradição iniciada por Bacon e pelo renascimento (século XIV), é um
organismo vivo, é Gaia. A natureza não está ali objetificada para nossa
exploração e expropriação, ao contrário, ela é um todo articulado e em
equilíbrio único que tencionamos descontrolar em virtude de nossos anseios
mais supérfluos.

O mesmo Haddad nos lembrou, em entrevista recente, do programa da ditadura
militar de enfrentar o “inferno verde”. Sim, ambiente hostil. Era essa a visão
na década de 70, a mais dileta expressão positivista. Por impenetrável,
haveria de se travar contra a natureza uma guerra. Mas, uma guerra contra ela
é uma guerra contra o planeta, contra nós.

Ora, tal não é a nossa surpresa, 50 anos depois, de testemunhar que algo
mudou. A ecologia e a sustentabilidade são palavras de ordem, atualmente. Os
orgânicos ganham espaço, a pegada de carbono envergonha e termos como ESG
dominam o mundo corporativo. Seriam ressonâncias dos pedidos de Lovelock?

Sem dúvida, o buraco na camada de ozônio chamou a atenção, mas, também, as
anotações sucessivas da constante elevação do aquecimento global comprovaram
cientificamente que o homem lidera e potencializa a destruição do planeta,
pela produção desenfreada de CO2 e outros gases de efeito estufa.

As palavras de Lovelock estão por aí ecoando na cabeça de acadêmicos,
cientistas, voluntários e guerreiros que, não se alienando, tentam mudar a
realidade. Mas, decerto, uma grande mudança para a sociedade é entender que,
na atmosfera baixa, quem manda é a natureza e é ela um verdadeiro paraíso,
paraíso verde.

 _Introdução e os principais pontos de Linguagem e Verdade**[i]**_

Pettersen inicia a aula com uma citação de _Palavra e Objeto_(1960), da p. 13,
que trata da linguagem como arte social, construída intersubjetivamente e cujo
significado provém do que é expresso e observável. Ou seja, a linguagem é
pública e mesmo a filosofia se expressa nessa linguagem, na forma como falamos
e que a molda, e que também molda as possibilidades de refletir, de negar,
etc. A filosofia depende da língua falada e da linguagem como ordenadora do
pensamento, conforme ressalta Pettersen, o que vai contra uma ideia de
filosofia universal. A questão da intersubjetividade ressalta que somos
pautados pelos interlocutores e dentro de um contexto cuja chave de leitura /
tradução deve ser dada para que nosso pensamento se torne acessível.

Segundo Pettersen, Quine pretende responder como entender o pensamento de um
grupo completamente distinto do nosso e que se expressa em uma linguagem que
não conhecemos, no que se chama tradução radical. Ele verifica a radicalidade
do pensamento e de como ele está expresso em uma língua.

Resumidamente, o que veremos aqui é o primeiro capítulo, no qual Quine passa
do como aprendemos a linguagem até o discurso científico, apoiando-se em dois
princípios: o empirismo, que é fonte de evidência e o behaviorismo. Já no
segundo capítulo, em uma próxima resenha, Quine veremos o argumento da
tradução radical, ou seja, de como comunicar o discurso para outra pessoa, da
qual não temos conhecimento prévio.

Então, o capítulo 1, cujo título é _Linguagem e Verdade_ , já mostra a busca
de Quine por proposições verdadeiras. Ele parte do conhecimento empírico por
meio de nossa superfície sensorial e, aí, começa o processo de entificação,
bem como o aprendizado da linguagem por observações da pronuncia alheia. E
esse empirismo, de acordo com Pettersen, é um antidoto ao relativismo ou
incerteza e, sendo base do conhecimento, é fundante da linguagem comum e da
ciência, que é evolução autoconsciente do senso comum (e também a filosofia
como continuação da ciência). Se a linguagem depende do contexto, conforme
Wittgenstein, Quine acrescenta que é necessária uma fonte de validação.

Já sobre o behaviorismo, um “ai” pode ser aprendido pela sociedade como dor e,
nesse caso, gera uma recompensa de nossa parte ou se percebemos um blefe, por
exemplo, pode ocorrer penalização. Lembremos do reflexo condicionado de
Pavlov[ii] com seu cão – aprendizado por repetição e Skinner que baseia a tese
de comportamento humano no behaviorismo, sendo seguido por Quine.

Isso posto, há uma triangulação (professor-texto-aluno) para que o aprendizado
ocorra, há três aspectos:

1. Do ponto de vista do aluno, ele percebe as coisas do mundo de maneira similar (empírico).

2\. As coisas também são similares do ponto de vista do aluno e do professor
(intersubjetivo).

3. Professor possa corrige e incentiva o aluno (recompensa-punição).

Entretanto, há uma uniformidade linguística, já que a forma externa do falar é
igual, embora a parte interna de cada um, do aprendizado, seja diversa[iii].
Quer dizer, temos a mesma percepção de mundo. E vamos aprendendo a partir de
palavras simples, que são unidades, que depois vão se juntando em frases mais
complexas. Então, frases mais longas são feitas de fragmentos, alguns já
aprendidos e outros que vão sendo aprendidos e testados, verificados. Já o
aprendizado por ostensão[iv] necessita de conhecimento de fundo, de entender o
sinal, etc. Se o padrão de condicionamento varia entre cada pessoa, há pontos
de congruência em geral.

Ora, se o caminho de aprendizado da linguagem comum é aquele experimental, por
que o da filosofia não seria? Bem, para Quine aprendemos a linguagem a partir
de frases inteiras, contextualmente ou por analogia ou, por fim, por
descrição. Isto é, aprender uma linguagem é aprender uma _teoria sobre como o
mundo é_. A língua portuguesa nos dá uma visão de mundo, assim como outras
línguas dão visões de mundo diferentes. A visão de mundo depende do
conhecimento prévio, mesmo entre pessoas da mesma língua de acordo com suas
vivências.

Quine pontua que há aspectos da linguagem que estão afastados da
experiência[v], mas as porções ligadas ao mundo nos permitem entrar no campo
da linguagem, nos comunicar e atingir a objetividade necessária. A partir daí,
toda a linguagem deve ser organizada em nossa teoria do mundo, da mesma forma
que um cientista, com simplicidade (organizar o conhecimento da maneira mais
simples e, aqui, Pettersen lembra da navalha de Ockham), familiaridade, que é:
explicar novas questões a partir das velhas leis familiares de nossa visão de
mundo e, por fim, a razão suficiente, que se dá por meio de uma explicação
racional, conforme herança de Leibniz, informa Pettersen.

Por fim, Quine ressalta que não reduziu sua ambição de modo que caia em uma
doutrina relativista, mas continua dentro de uma teoria de mundo particular
baseada nas crenças do momento e, com o uso do método científico,
aperfeiçoando e sendo capaz de julgar a verdade seriamente, com as devidas
correções que sempre hão de se fazerem necessárias. Se a melhor ferramenta que
temos para falar sobre o mundo natural é a ciência e a que traz as melhores
evidências de explicação, sigamos com o vínculo empirismo.

* * *

[i] Resenha de Quine - Capítulo I de Palavra e Objeto, disponível em:
https://www.youtube.com/watch?v=u-n_XW40_5s,
https://www.youtube.com/watch?v=E3ClMyjcpkU e
https://www.youtube.com/watch?v=elL_xRAeRrw. Prof. Bruno Pettersen. Willard
van Orman Quine (1908-2000). Alguns trabalhos: Dois Dogmas do Empirismo, Sobre
o que há, Relatividade Ontológica, e Epistemologia Naturalizada.

[ii] “Ivan Pavlov, um médico russo do início do século 20, treinou cachorros
para que eles ficassem com água na boca sem que houvesse nenhuma comida por
perto. Funcionava assim: toda vez que os bichos eram alimentados, o médico
tocava uma sineta. Com o tempo, os cães começaram a associar as badaladas à
comida. Conforme Superinteressante: <https://super.abril.com.br/ciencia/o-que-
e-o-cao-de-pavlov/>.

[iii] As árvores possuem as mesmas formas, vistas de longe, mas os galhos
internos são diferentes.

[iv] Ato ou efeito de mostrar, <https://www.dicio.com.br/ostensao/>.

[v] Em Hume todo conhecimento vinha da experiência, no esquema impressão-
ideia, o que não é o caso de Quine que trabalha no campo da linguagem,
conforme nota da aula.

 _Enumera as camadas linguísticas que um bom processador de língua natural deve
percorrer, além de trazer aspectos de divisão no campo da linguísticas  e
notas de implementação**[i]**_

**Introdução**

Pardo traz questões iniciais sobre a nossa relação com a linguagem, com o
mundo pela linguagem e mesmo se a nossa cognição sofisticada depende da
linguagem. A linguagem seria algo genético? É uma manifestação do inconsciente
(Lacan)? Pensamos em alguma língua, por exemplo, em português? Harari[ii],
conforme mostra Pardo, destaca o papel da linguagem em nossa evolução e cunha
a Revolução Cognitiva em um período entre 70 a 30 mil anos atrás, tendo como
teoria mais aceita mutações genéticas acidentais. Já Daniel Everett[iii], que
morou no Brasil, traz o pensamento de Chomsky da linguagem inata, a gramática
universal, codificada geneticamente. Se é assim, já nasceríamos com a
gramática. Mas Everett rechaça essa ideia, por falta de provas de tal
hereditariedade ou gene da linguagem (FOXP 2), existente em outros animais. É
aí que entra o dilema da IA, a dificuldade de _nós_ explicarmos _nosso_
cérebro. E a dificuldade de um cérebro artificial[iv]. Isso mostra como essas
questões linguísticas influenciam a tecnologia da linguagem.

**Níveis de processamento da língua**

Para observar os níveis linguísticos podemos nos utilizar da ferramenta do LX-
Center[v]. Há o _silabificador_ que quebra sílabas das palavras, segmentando-
as; o POS-tag (etiquetador de partes do discurso) anota as classes
gramáticas[vi] das sentenças; parser (analisador) de dependência, é um
analisador sintático, além das classes gramaticais: sujeito, predicado, etc.;
parser de constituintes, que monta a estrutura sintática em forma de árvore,
grupos nominais, grupos verbais; reconhecimento de entidades: pessoa,
organização, localidade, etc., precisa de contexto e análise semântica[vii];
entre outros. É uma boa ferramenta, mas podemos ver que ainda comete erros.
Mas, afinal, pergunta Pardo: de que uma máquina precisa para entender a nossa
fala e interagir adequadamente?

Há vários níveis de conhecimento que se dividem em uma cadeia de complexidade
e abstração. Abaixo a categorização dos conhecimentos, mostrando o eixo do
texto falado separadamente[viii], embora os níveis estejam todos conectados.

[![](https://blogger.googleusercontent.com/img/a/AVvXsEg5jbi8BzYLmEmowex8PAcbl67r5OQ57gZ57fbXLOPqbWmdCkOwZMBHrIaZjRy20lB-
Idx533kSedBmx-Ho-
kOByyqjEg2OYlnAsTaUPV73-9ZW4gcdU-r8h1j_S5P2quvWDhzEUuK7cnpTFsSqawfRFLvggNFS3PqMCWXgEb8kVQOOFJ5T_qqJU0NL=s320)](https://blogger.googleusercontent.com/img/a/AVvXsEg5jbi8BzYLmEmowex8PAcbl67r5OQ57gZ57fbXLOPqbWmdCkOwZMBHrIaZjRy20lB-
Idx533kSedBmx-Ho-
kOByyqjEg2OYlnAsTaUPV73-9ZW4gcdU-r8h1j_S5P2quvWDhzEUuK7cnpTFsSqawfRFLvggNFS3PqMCWXgEb8kVQOOFJ5T_qqJU0NL=s853)

_Fonética e Fonologia_. O primeiro é o sistema físico de produzir sons e o
segundo está no contexto da língua, fonemas, transcrição fonética[ix], como
pronunciar cada som.  

_Morfologia_. São os componentes das palavras, morfemas: raiz ou radical,
vogal temática, prefixo, sufixo, etc.

_Morfossintaxe_. Junta palavras e frases para achar as classes gramaticais, vê
o comportamento da palavra dentro da frase, substantivo, preposição, verbo,
etc. É a etiquetação morfossintática (POS-tag). Segundo Pardo, chegam a um
acerto de 98% em português. Aí estaria o “2 milhões de pessoas morreram”,
exemplo de Thiago, se milhões é numeral ou substantivo, etc. A dificuldade com
os advérbios, que estariam na “caixinha do resto”, que não couberam em outras
classes gramaticais.

_Sintaxe_. A sintaxe foca na formação das sentenças, como as palavras se
combinam. Ocorre no nível da frase, em que posição as palavras ocorrem. As
funções: sujeito, predicado, objetos, etc. A estruturação: sintagma nominal,
sintagma verbal. É possível ver graficamente e ver os constituintes, fazer a
sua análise de dependência. As árvores chegam a 96, 97% de acerto.

_Semântica_. É o significado, há vários modelos e representações. Significado
de palavras, expressões, orações e mesmos textos inteiros. Lexical,
composicional e textual. Bola para ser chutada. Bota: calçado. Bater as botas?
É para tirar a terra ou morrer? Significado não composicional. Pode-se tentar
categorizar cada palavra, conforme o exemplo abaixo.

[![](https://blogger.googleusercontent.com/img/a/AVvXsEiHSblMkV0Evv0uQsDk5dkyXTcU6Qa3ob8dh9QK8ikljw4IJZotTzsMDChv_hZIIVkBjh3wObpg8y0SBr2PYpvnFwHWhNFZ2yRc_PiC3k0DyyrWA6VTT_MYp5aFejccq5LtQrJMgxbzlRNL93gT6Ft9YsMGx7hTbeez0BSYvJvNQbogqJ7UiopAiQ1H=w400-h130)](https://blogger.googleusercontent.com/img/a/AVvXsEiHSblMkV0Evv0uQsDk5dkyXTcU6Qa3ob8dh9QK8ikljw4IJZotTzsMDChv_hZIIVkBjh3wObpg8y0SBr2PYpvnFwHWhNFZ2yRc_PiC3k0DyyrWA6VTT_MYp5aFejccq5LtQrJMgxbzlRNL93gT6Ft9YsMGx7hTbeez0BSYvJvNQbogqJ7UiopAiQ1H=s754)

Significado por classes, como traços semânticos a partir de taxonomias do
concreto e o abstrato, animado e inanimado, etc., são as ontologias. É o que
os word embeddings tentam fazer. Há papéis semânticos, como o agente, o tema,
o instrumento, etc. “O menino chutou a bola”. Menino é agente, é humano. Bola
é tema, artefato. Há relações lexicais: sinônimos (casa/lar), antônimos,
hiperonímias, holonomia (todo e parte) e assim por diante.  Expressões
idiomáticas, metáforas, ironias, etc. Banco de sangue ou banco para sentar:
polissêmico, pois há primitiva em comum, sempre é um depósito. Manga de camisa
ou manga fruta? É homonímia, pois não tem primitiva em comum, não se sabe o
processo que chegou a esses significados, talvez pela falta de conhecimento da
origem de cada uso da palavra.

_Pragmática e Discurso_. O último nível, acima da semântica, está além da
sentença, é o nível do todo. Está no nível do relacionamento entre as frases,
correferências, intenções, tópicos. Por exemplo, a dificuldade de um
assistente virtual de manter o contexto, o histórico da conversa. De uma
indecisão de duas frases pode surgir uma dúvida em uma terceira. Há conexões
no nível discursivo.

Já a pragmática tem a ver com o contexto de uso, os participantes do diálogo.
Força, educação, hierarquia, atitude, etc. Quem está falando? Coisas que estão
